Item Index,RestaurantName,Item,Description,Price,Custom Meal Type,Menu Catgeory,Kcal,Protein,Carbs,Fat,Calculated Cal,Difference,%
6,Go! Healthy - Macro Counted,Breakfast Burrito,[Kcal: 580 P: 25 C: 73 F: 22] Give your morning a kickstart with our breakfast burrito - rice beans avocado salsa 2 eggs.,AED35,Breakfast,Go! Breakfast All Day,580,25,73,22,590,10,1.72%
7,Go! Healthy - Macro Counted,Peanut Butter Toast and Caramelized Bananas,[Kcal: 400 P: 15 C: 60 F: 13] Sour dough toast topped with crunchy peanut butter and caramelized bananas!,AED23,Breakfast,Go! Breakfast All Day,400,15,60,13,417,17,4.25%
8,Go! Healthy - Macro Counted,Eggie Breakie Bacon Wrap,[Kcal: 640 P: 42 C: 38 F: 34],AED36,Breakfast,Go! Breakfast All Day,640,42,38,34,626,-14,2.19%
9,Go! Healthy - Macro Counted,Eggie Breakie Wrap,[Kcal: 580 P: 30 C: 38 F: 33],AED23,Breakfast,Go! Breakfast All Day,580,30,38,33,569,-11,1.90%
10,Go! Healthy - Macro Counted,Wrap and Mini Salad,Please Choose Wrap,AED47,Lunch/Dinner,Being Healthy is Easy with Our Combo Deals!,580,30,38,33,569,-11,1.90%
11,Go! Healthy - Macro Counted,Bowl and Side Salad,Choice of bowl available. Mini greek salad mini quinoa kale salad or mini beetroot salad.,AED53,Lunch/Dinner,Being Healthy is Easy with Our Combo Deals!,580,30,38,33,569,-11,1.90%
12,Go! Healthy - Macro Counted,2 Wraps,Choice of wraps available.,AED71,Lunch/Dinner,Being Healthy is Easy with Our Combo Deals!,580,30,38,33,569,-11,1.90%
13,Go! Healthy - Macro Counted,2 Bowls,Choice of bowls available.,AED73,Lunch/Dinner,Being Healthy is Easy with Our Combo Deals!,580,30,38,33,569,-11,1.90%
14,Go! Healthy - Macro Counted,2 Gourmet Grilled Lean Meals,Choice of 2 grilled meals and 2 free dips available.,AED123,Lunch/Dinner,Being Healthy is Easy with Our Combo Deals!,580,30,38,33,569,-11,1.90%
15,Go! Healthy - Macro Counted,Build A Healthy Bowl,Build your own healthy bowl with our fresh ingredients. We keep your macros in mind!,AED53,Lunch/Dinner,#TastyAF Healthy Signature Bowls,580,30,38,33,569,-11,1.90%
16,Go! Healthy - Macro Counted,Mexican Chicken Bowl,[Kcal: 590 P: 47 C: 68 F: 15] Grilled chicken skewers Spanish red rice red kidney beans guacamole Romaine lettuce pico de gallo.,AED43,Lunch/Dinner,#TastyAF Healthy Signature Bowls,590,47,68,15,595,5,0.85%
17,Go! Healthy - Macro Counted,Korean Kimchi Beef Bowl,[Kcal: 480 P: 42 C: 38 F: 16] Tender marinated beef bok choy kimchi white rice Sriracha sauce. Mildly spicy.,AED47,Lunch/Dinner,#TastyAF Healthy Signature Bowls,480,42,38,16,464,-16,3.33%
18,Go! Healthy - Macro Counted,Korean Beef Noodle Bowl,[Kcal: 670 P: 41 C: 83 F: 19] Protein packed egg noodles mixed in a light asian sauce mixed with mushrooms bok choy and topped with Korean style strips of beef.,AED57,Lunch/Dinner,#TastyAF Healthy Signature Bowls,670,41,83,19,667,-3,0.45%
19,Go! Healthy - Macro Counted,Salmon Teriyaki Bowl,[Kcal: 540 P: 41 C: 38 F: 25] Grilled teriyaki salmon brown rice spinach broccoli black sesame seeds.,AED67,Lunch/Dinner,#TastyAF Healthy Signature Bowls,540,41,38,25,541,1,0.19%
20,Go! Healthy - Macro Counted,Zoodles with Meatballs,[Kcal: 410 P: 30 C: 21 F: 23] Freshly spiralized zucchini zoodles served with our light pomodoro sauce and topped with homemade & lean meatballs.,AED37,Lunch/Dinner,#TastyAF Healthy Signature Bowls,410,30,21,23,411,1,0.24%
21,Go! Healthy - Macro Counted,Chicken Avocado Salad,[Kcal: 450 P: 44 C: 12 F: 25] Grilled chicken avocado feta cheese kale mixed lettuce sundried tomatoes olives onions cucumber pine nuts served with a Greek yoghurt dressing.,AED47,Lunch/Dinner,#TastyAF Healthy Signature Bowls,450,44,12,25,449,-1,0.22%
22,Go! Healthy - Macro Counted,Quinoa Kale Salad,[Kcal: 480 P: 19 C: 67 F: 16] Kale Cherry Tomatoes Olives Feta Quinoa Chickpeas Cucumber with a light Apple Cider Oil dressing.,AED43,Lunch/Dinner,#TastyAF Healthy Signature Bowls,480,19,67,16,488,8,1.67%
23,Go! Healthy - Macro Counted,Greek Salad,[Kcal: 460 P: 13 C: 19 F: 38] Feta cheese tomato cucumber green bell pepper red onion Kalamata olives oregano olive oil.,AED43,Lunch/Dinner,#TastyAF Healthy Signature Bowls,460,13,19,38,470,10,2.17%
24,Go! Healthy - Macro Counted,Veggie Noodle Bowl,[Kcal: 490 P: 17 C: 86 F: 9] Protein packed egg noodles tossed in a light Asian sauce mixed with mushrooms and bok choy.,AED43,Lunch/Dinner,#TastyAF Healthy Signature Bowls,490,17,86,9,493,3,0.61%
25,Go! Healthy - Macro Counted,Veggie Bowl,[Kcal: 570 P: 19 C: 89 F: 19] Roasted sweet potato chickpeas broccoli spinach white rice tahini sauce.,AED32,Lunch/Dinner,#TastyAF Healthy Signature Bowls,570,19,89,19,603,33,5.79%
26,Go! Healthy - Macro Counted,Chicken Avocado Wrap,[Kcal: 690 P: 51 C: 51 F: 31] Grilled chicken skewer avocado toasted croutons Romaine lettuce cherry tomatoes light Caesar sauce.,AED36,Lunch/Dinner,#TastyAF Healthy Signature Wraps,690,51,51,31,687,-3,0.43%
27,Go! Healthy - Macro Counted,Greek Chicken Wrap,[Kcal: 680 P: 49 C: 67 F: 23] Grilled chicken skewer Tzatziki Feta cheese Greek salad Greek rice red cabbage.,AED36,Lunch/Dinner,#TastyAF Healthy Signature Wraps,680,49,67,23,671,-9,1.32%
28,Go! Healthy - Macro Counted,Korean Beef Wrap,[Kcal: 650 P: 51 C: 61 F: 25] Tender marinated beef bok choy kimchi white rice Sriracha sauce.,AED43,Lunch/Dinner,#TastyAF Healthy Signature Wraps,650,51,61,25,673,23,3.54%
29,Go! Healthy - Macro Counted,Mexican Chicken Wrap,[Kcal: 640 P: 41 C: 82 F: 16],AED36,Lunch/Dinner,#TastyAF Healthy Signature Wraps,640,41,82,16,636,-4,0.63%
30,Go! Healthy - Macro Counted,Eggie Breakkie Bacon Wrap,[Kcal: 640 P: 42 C: 38 F: 34] 3 scrambled eggs beef bacon cheddar cheese.,AED36,Lunch/Dinner,#TastyAF Healthy Signature Wraps,640,42,38,34,626,-14,2.19%
31,Go! Healthy - Macro Counted,Eggie Breakkie Wrap,[Kcal: 580 P: 30 C: 38 F: 33] 3 scrambled eggs and cheddar cheese.,AED23,Lunch/Dinner,#TastyAF Healthy Signature Wraps,580,30,38,33,569,-11,1.90%
32,Go! Healthy - Macro Counted,Veggie Wrap,[Kcal: 510 P: 14 C: 89 F: 12] Roasted sweet potato spinach rice grilled marrow roasted bell pepper chickpeas eggplant puree.,AED29,Lunch/Dinner,#TastyAF Healthy Signature Wraps,510,14,89,12,520,10,1.96%
33,Go! Healthy - Macro Counted,Breakfast Lunch and Dinner Plan,Please Choose Breakfast,AED130,Lunch/Dinner,Meal Plan Bundles: Flexible & Pay As You Go!,510,14,89,12,520,10,1.96%
34,Go! Healthy - Macro Counted,Lunch and Dinner Plan,Please Choose Lunch,AED95,Lunch/Dinner,Meal Plan Bundles: Flexible & Pay As You Go!,510,14,89,12,520,10,1.96%
35,Go! Healthy - Macro Counted,Breakfast and Lunch Plan,Please Choose Breakfast,AED61,Lunch/Dinner,Meal Plan Bundles: Flexible & Pay As You Go!,510,14,89,12,520,10,1.96%
36,Go! Healthy - Macro Counted,Grilled Salmon Cauliflower Rice Cucumber and Tomato Salad,[Kcal: 450 P: 39 C: 11 F: 27],AED69,Lunch/Dinner,Go! Super Lean Eats,450,39,11,27,443,-7,1.56%
37,Go! Healthy - Macro Counted,Sea Bass Broccoli Rice Cucumber and Tomato Salad,[Kcal: 250 P: 37 C: 8 F: 8],AED75,Lunch/Dinner,Go! Super Lean Eats,250,37,8,8,252,2,0.80%
38,Go! Healthy - Macro Counted,Grilled Tenderloin 180g Zoodles Sweet Potato,[Kcal: 540 P: 40 C: 31 F: 28],AED73,Lunch/Dinner,Go! Super Lean Eats,540,40,31,28,536,-4,0.74%
39,Go! Healthy - Macro Counted,Grilled French Corn Fed Chicken Breast and Roasted Rosemary Potatoes,[Kcal: 390 P: 43 C: 39 F: 7],AED63,Lunch/Dinner,Go! Super Lean Eats,390,43,39,7,391,1,0.26%
40,Go! Healthy - Macro Counted,Grilled Shrimp Cauliflower Rice Roasted Bell Pepper and Courgette,[Kcal: 220 P: 25 C: 14 F: 7],AED63,Lunch/Dinner,Go! Super Lean Eats,220,25,14,7,219,-1,0.45%
41,Go! Healthy - Macro Counted,Chicken Avocado Salad,[Kcal: 450 P: 44 C: 12 F: 25] Grilled chicken avocado Feta cheese kale mixed lettuce sundried tomatoes olives onion cucumber Greek yogurt dressing.,AED47,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,450,44,12,25,449,-1,0.22%
42,Go! Healthy - Macro Counted,Chicken Avocado Wrap,[Kcal: 690 P: 51 C: 51 F: 31] Grilled chicken skewer avocado toasted croutons Romaine lettuce cherry tomatoes light Caesar sauce.,AED36,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,690,51,51,31,687,-3,0.43%
43,Go! Healthy - Macro Counted,Greek Chicken Wrap,[Kcal: 680 P: 49 C: 67 F: 23] Grilled chicken skewer Tzatziki Feta cheese Greek salad Greek rice red cabbage.,AED36,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,680,49,67,23,671,-9,1.32%
44,Go! Healthy - Macro Counted,Korean Beef Wrap,[Kcal: 650 P: 51 C: 61 F: 25] Tender marinated beef bok choy kimchi white rice Sriracha sauce.,AED43,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,650,51,61,25,673,23,3.54%
45,Go! Healthy - Macro Counted,Mexican Chicken Wrap,[Kcal: 640 P: 41 C: 82 F: 16],AED36,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,640,41,82,16,636,-4,0.63%
46,Go! Healthy - Macro Counted,Eggie Breakkie Bacon Wrap,[Kcal: 640 P: 42 C: 38 F: 34] 3 scrambled eggs beef bacon cheddar cheese.,AED36,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,640,42,38,34,626,-14,2.19%
47,Go! Healthy - Macro Counted,Gourmet Lettuce Burger,[Kcal: 350 P: 44 C: 14 F: 13] Gourmet burger patty (160g) wrapped in iceberg lettuce tomato onion pickles served with sweet potato puree.,AED49,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,350,44,14,13,349,-1,0.29%
48,Go! Healthy - Macro Counted,Mexican Chicken Bowl,[Kcal: 590 P: 47 C: 68 F: 15] Grilled chicken skewers Spanish red rice red kidney beans guacamole Romaine lettuce pico de gallo.,AED43,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,590,47,68,15,595,5,0.85%
49,Go! Healthy - Macro Counted,Korean Kimchi Beef Bowl,[Kcal: 480 P: 42 C: 38 F: 16] Tender marinated beef bok choy kimchi white rice Sriracha sauce. Mildly spicy.,AED47,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,480,42,38,16,464,-16,3.33%
50,Go! Healthy - Macro Counted,Korean Beef Noodle Bowl,[Kcal: 670 P: 41 C: 83 F: 19],AED57,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,670,41,83,19,667,-3,0.45%
51,Go! Healthy - Macro Counted,Salmon Teriyaki Bowl,[Kcal: 540 P: 41 C: 38 F: 25] Grilled teriyaki salmon brown rice spinach broccoli black sesame seeds.,AED67,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,540,41,38,25,541,1,0.19%
52,Go! Healthy - Macro Counted,Gourmet Burger with Bun,[Kcal: 470 P: 47 C: 34 F: 16],AED49,Lunch/Dinner,High Protein with Well Rounded Healthy Fats and Carbs,470,47,34,16,468,-2,0.43%
53,Go! Healthy - Macro Counted,Beetroot Salad,[Kcal: 170 P: 5 C: 27 F: 6] Beetroot Greek yogurt spring onions.,AED31,Lunch/Dinner,Low Calories (Less Than 450!),170,5,27,6,182,12,7.06%
54,Go! Healthy - Macro Counted,Chicken Avocado Salad,[Kcal: 450 P: 44 C: 12 F: 25] Grilled chicken avocado Feta cheese kale mixed lettuce sundried tomatoes olives onion cucumber Greek yogurt dressing.,AED47,Lunch/Dinner,Low Calories (Less Than 450!),450,44,12,25,449,-1,0.22%
55,Go! Healthy - Macro Counted,Watermelon Feta Salad,[Kcal: 340 P: 12 C: 19 F: 26] Seedless watermelon Feta cheese wild rocket honey glazed walnuts balsamic dressing.,AED37,Lunch/Dinner,Low Calories (Less Than 450!),340,12,19,26,358,18,5.29%
56,Go! Healthy - Macro Counted,Salmontini Avocado Toast,[Kcal: 340 P: 20 C: 32 F: 15],AED36,Breakfast,Low Calories (Less Than 450!),340,20,32,15,343,3,0.88%
57,Go! Healthy - Macro Counted,Avocado Toast,[Kcal: 320 P: 7 C: 34 F: 19],AED24,Breakfast,Low Calories (Less Than 450!),320,7,34,19,335,15,4.69%
58,Go! Healthy - Macro Counted,Egg Avocado Toast,[Kcal: 430 P: 18 C: 32 F: 26],AED29,Breakfast,Low Calories (Less Than 450!),430,18,32,26,434,4,0.93%
59,Go! Healthy - Macro Counted,Gourmet Lettuce Burger,[Kcal: 350 P: 44 C: 14 F: 13] Gourmet burger patty (160g) wrapped in iceberg lettuce tomato onion pickles served with sweet potato puree.,AED49,Lunch/Dinner,Low Calories (Less Than 450!),350,44,14,13,349,-1,0.29%
60,Go! Healthy - Macro Counted,Zoodles with Meatballs,[Kcal: 410 P: 30 C: 21 F: 23] Freshly spiralized zucchini zoodles served with our light pomodoro sauce and topped with homemade & lean meatballs.,AED37,Lunch/Dinner,Low Calories (Less Than 450!),410,30,21,23,411,1,0.24%
61,Go! Healthy - Macro Counted,Grilled Salmon 170g Cauliflower Rice Cucumber and Tomato Salad,[Kcal: 450 P: 39 C: 11 F: 27] A roasted salmon filet served with a deliciously zest cauliflower rice and a side of a cucumber and tomato salad.,AED69,Lunch/Dinner,Low Calories (Less Than 450!),450,39,11,27,443,-7,1.56%
62,Go! Healthy - Macro Counted,Sea Bass 170g Broccoli Rice Cucumber and Tomato Salad,[Kcal: 250 P: 37 C: 8 F: 8] A roasted sea bass served with broccoli rice and a side of cucumber and tomato salad.,AED75,Lunch/Dinner,Low Calories (Less Than 450!),250,37,8,8,252,2,0.80%
63,Go! Healthy - Macro Counted,Grilled French Corn Fed Chicken Breast 170g Roasted Rosemary Potatoes,[Kcal: 390 P: 43 C: 39 F: 7],AED63,Lunch/Dinner,Low Calories (Less Than 450!),390,43,39,7,391,1,0.26%
64,Go! Healthy - Macro Counted,Grilled Shrimp 150g (11-12) Cauliflower Rice Roasted Bell Pepper and Courgette,[Kcal: 220 P: 25 C: 14 F: 7],AED63,Lunch/Dinner,Low Calories (Less Than 450!),220,25,14,7,219,-1,0.45%
65,Go! Healthy - Macro Counted,Thick Cut Fries 220g,[Kcal: 362 P: 5.6 C: 52 F:14.6],AED11,Snack,Sides and Extras,,362,5.6,52,1938.4,1938.4,#DIV/0!
66,Go! Healthy - Macro Counted,French Fries 220g,[Kcal: 442 P: 5.6 C: 64 F: 17.2],AED9,Snack,Sides and Extras,442,5.6,64,17.2,433.2,-8.8,1.99%
67,Go! Healthy - Macro Counted,Sweet Potato Fries 220g,[Kcal: 290 P: 5 C: 52 F: 7],AED14,Snack,Sides and Extras,290,5,52,7,291,1,0.34%
68,Go! Healthy - Macro Counted,Grilled Veggies (Green and Yellow Zucchini Red Pepper) 200g,[Kcal: 45 P: 2 C: 9 F: 0.5],AED14,Snack,Sides and Extras,45,2,9,0.5,48.5,3.5,7.78%
69,Go! Healthy - Macro Counted,Mini Greek Salad 220g,[Kcal: 230 P: 6 C: 10 F: 19] Feta cheese tomato cucumber green bell pepper red onion Kalamata olives oregano olive oil.,AED14,Snack,Sides and Extras,230,6,10,19,235,5,2.17%
70,Go! Healthy - Macro Counted,Mini Quinoa Kale Salad 200g,[Kcal: 240 P: 10 C: 34 F: 8] Kale Cherry Tomatoes Olives Feta Quinoa Chickpeas Cucumber with a light Apple Cider Oil dressing.,AED17,Snack,Sides and Extras,240,10,34,8,248,8,3.33%
71,Go! Healthy - Macro Counted,Mini Beetroot Salad 140g,[Kcal: 90 P: 3 C: 14 F: 3] Beetroot Greek yogurt spring onions.,AED12,Snack,Sides and Extras,90,3,14,3,95,5,5.56%
72,Go! Healthy - Macro Counted,Sweet Potato Purée 200g,[Kcal: 60 P: 1 C: 11 F: 2],AED14,Snack,Sides and Extras,60,1,11,2,66,6,10.00%
73,Go! Healthy - Macro Counted,Broccoli 200g,[Kcal: 70 P: 5 C: 14 F: 1],AED14,Snack,Sides and Extras,70,5,14,1,85,15,21.43%
74,Go! Healthy - Macro Counted,Black Beans 200g,[Kcal: 260 P: 18 C: 47 F: 1],AED12,Snack,Sides and Extras,260,18,47,1,269,9,3.46%
75,Go! Healthy - Macro Counted,Greek Spinach Rice 200g,[Kcal: 310 P: 7 C: 63 F: 3],AED15,Snack,Sides and Extras,310,7,63,3,307,-3,0.97%
76,Go! Healthy - Macro Counted,Spanish Red Rice 200g,[Kcal: 430 P: 9 C: 89 F: 4],AED13,Snack,Sides and Extras,430,9,89,4,428,-2,0.47%
77,Go! Healthy - Macro Counted,Plain Basmati Brown Rice 200g,[Kcal: 220 P: 5 C: 47 F: 1.5],AED18,Snack,Sides and Extras,220,5,47,1.5,221.5,1.5,0.68%
78,Go! Healthy - Macro Counted,Plain Basmati White Rice 200g,[Kcal: 250 P: 6 C: 52 F: 0.5],AED9,Snack,Sides and Extras,250,6,52,0.5,236.5,-13.5,5.40%
79,Go! Healthy - Macro Counted,Baked Sweet Potato Cubes 200g,[Kcal: 171 P: 3.2 C: 40.6 F: 0.2],AED14,Snack,Sides and Extras,171,3.2,40.6,0.2,177,6,3.51%
